date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
2022-11-24,7990.5,8025.0,90150.0
2022-11-23,7962.0,8000.0,91525.0
2022-11-22,7996.0,8029.0,91875.0
2022-11-21,7900.5,7940.0,91250.0
2022-11-18,8047.0,8086.0,89750.0
2022-11-17,8155.0,8186.5,89925.0
2022-11-16,8315.0,8345.0,89675.0
2022-11-15,8343.0,8379.0,89975.0
2022-11-14,8346.0,8362.0,86800.0
2022-11-11,8441.0,8437.0,77875.0
2022-11-10,8065.0,8046.0,80025.0
2022-11-09,8035.0,8011.0,80975.0
2022-11-08,7974.0,7967.0,83075.0
2022-11-07,7954.5,7936.0,84550.0
2022-11-04,7905.0,7876.0,88600.0
2022-11-03,7510.0,7485.0,93975.0
2022-11-02,7705.0,7655.0,102225.0
2022-11-01,7745.0,7675.0,106425.0
2022-10-31,7525.0,7442.0,113125.0
2022-10-28,7663.5,7610.0,119375.0
2022-10-27,7777.0,7707.0,125825.0
2022-10-26,7762.5,7668.0,130800.0
2022-10-25,7536.0,7450.0,134400.0
2022-10-24,7661.0,7562.0,134700.0
2022-10-21,7545.0,7457.0,137325.0
2022-10-20,7585.5,7505.5,136700.0
2022-10-19,7420.0,7370.0,139000.0
2022-10-18,7536.0,7490.0,143825.0
2022-10-17,7715.0,7615.0,142950.0
2022-10-14,7688.0,7585.5,145650.0
2022-10-13,7663.0,7575.0,145400.0
2022-10-12,7625.5,7565.0,145525.0
2022-10-11,7587.0,7525.0,145750.0
2022-10-10,7655.0,7586.5,143775.0
2022-10-07,7575.5,7554.0,143775.0
2022-10-06,7744.0,7706.0,140200.0
2022-10-05,7661.0,7607.0,138650.0
2022-10-04,7596.0,7545.0,136750.0
2022-10-03,7524.0,7410.0,135750.0
2022-09-30,7647.0,7540.5,135250.0
2022-09-29,7660.5,7560.0,134900.0
2022-09-28,7353.0,7291.5,133550.0
2022-09-27,7475.0,7400.0,130850.0
2022-09-26,7449.0,7350.0,129000.0
2022-09-23,7446.0,7410.0,124725.0
2022-09-22,7815.0,7737.0,122775.0
2022-09-21,7761.5,7710.5,118000.0
2022-09-20,7796.0,7755.0,107150.0
2022-09-19,7772.0,7703.0,105075.0
2022-09-16,7792.0,7660.5,102000.0
2022-09-15,7806.0,7726.0,103225.0
2022-09-14,7865.0,7790.0,103025.0
2022-09-13,8230.0,8095.0,103650.0
2022-09-12,8026.0,7945.0,105425.0
2022-09-09,7985.0,7920.0,105450.0
2022-09-08,7906.0,7798.0,102725.0
