,date,close,volume
540,2021-06-23,4.324,43.176
541,2021-06-22,4.219,43.338
542,2021-06-21,4.1845,38.118
543,2021-06-18,4.1635,27.584
544,2021-06-17,4.1855,38.499
545,2021-06-16,4.391,29.886
546,2021-06-15,4.341,34.837
547,2021-06-14,4.527,43.801
548,2021-06-11,4.5375,82.283
549,2021-06-10,4.485,91.582
550,2021-06-09,4.531,75.721
551,2021-06-08,4.556,91.116
552,2021-06-07,4.5265,66.956
553,2021-06-04,4.529,85.933
554,2021-06-03,4.463,125.515
555,2021-06-02,4.5915,74.348
556,2021-06-01,4.6535,126.881
557,2021-05-28,4.6775,101.946
558,2021-05-27,4.663,89.04
559,2021-05-26,4.5295,64.436
560,2021-05-25,4.5065,84.487
561,2021-05-24,4.5255,78.584
562,2021-05-21,4.481,103.877
563,2021-05-20,4.568,101.642
564,2021-05-19,4.5765,140.725
565,2021-05-18,4.7255,77.179
566,2021-05-17,4.7115,75.298
567,2021-05-14,4.6545,114.62
568,2021-05-13,4.6905,112.9
569,2021-05-12,4.736,107.308
570,2021-05-11,4.762,108.219
571,2021-05-10,4.716,158.81
572,2021-05-07,4.7485,118.845
573,2021-05-06,4.6025,78.759
574,2021-05-05,4.524,64.016
575,2021-05-04,4.5215,56.494
576,2021-05-03,4.5285,40.191
577,2021-04-30,4.468,71.914
578,2021-04-29,4.4865,91.259
579,2021-04-28,4.4975,69.444
580,2021-04-27,4.4855,69.879
581,2021-04-26,4.4445,59.602
582,2021-04-23,4.341,36.199
583,2021-04-22,4.2795,28.41
584,2021-04-21,4.2875,30.82
585,2021-04-20,4.221,23.426
586,2021-04-19,4.245,27.455
587,2021-04-16,4.168,87.656
588,2021-04-15,4.2185,106.318
589,2021-04-14,4.1285,95.297
590,2021-04-13,4.0315,67.321
591,2021-04-12,4.0185,70.855
592,2021-04-09,4.04,62.12
593,2021-04-08,4.0945,66.232
594,2021-04-07,4.0545,66.087
595,2021-04-06,4.1165,77.73
596,2021-04-05,4.1375,53.277
597,2021-04-01,3.9905,71.246
598,2021-03-31,3.9955,66.515
599,2021-03-30,3.9785,61.769
600,2021-03-29,4.0345,60.347
601,2021-03-26,4.068,63.091
602,2021-03-25,3.978,108.068
603,2021-03-24,4.064,72.753
604,2021-03-23,4.0795,79.761
605,2021-03-22,4.1395,58.257
