LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
6363.0,6361.5,114.375
6437.0,6428.5,117.95
6453.5,6450.5,120.95
6525.5,6523.0,122.45
6440.0,6435.0,125.15
6441.0,6435.0,126.675
6446.5,6439.5,128.125
6433.5,6428.0,129.225
6475.0,6468.0,131.9
6399.5,6393.0,134.025
6425.5,6420.0,138.025
6412.5,6389.5,141.725
6533.5,6510.5,143.8
6527.0,6506.0,145.05
6513.0,6505.0,146.3
6416.5,6410.5,151.075
6454.5,6447.0,157.35
6385.0,6384.0,159.8
6507.0,6510.0,166.45
6489.5,6491.0,168.225
6545.0,6537.0,176.35
6322.5,6320.0,181.075
6339.5,6339.5,185.2
6194.0,6197.5,192.025
6086.0,6089.0,195.825
6112.0,6105.0,206.375
6022.5,6021.0,206.375
6080.0,6083.0,210.7
6016.5,6023.5,213.325
6038.0,6043.5,216.6
5957.0,5966.5,219.6
5985.5,5984.5,221.675
5880.5,5888.0,225.65
5871.0,5882.5,226.05
5895.0,5909.0,228.45
5825.0,5846.0,233.4
5835.5,5855.0,236.6
5799.0,5825.0,243.25
5734.0,5763.0,244.7
5759.5,5787.5,248.475
5646.0,5673.5,247.0
5785.5,5809.0,234.55
5801.5,5825.0,231.6
5801.0,5822.0,233.475
5680.5,5704.0,236.575
5659.0,5678.5,237.9
5588.0,5607.0,243.75
5452.5,5478.5,248.275
5499.0,5522.0,252.375
5463.0,5487.5,254.275
5376.5,5404.0,255.725
5332.5,5357.0,261.8
5278.5,5306.5,264.425
5308.5,5342.5,265.375
5341.5,5375.0,270.925
5242.5,5272.0,271.775
5387.0,5413.5,272.325
5333.0,5360.5,273.175
5314.0,5343.5,274.225
5249.5,5277.5,276.375
5165.0,5194.5,278.75
5155.5,5186.5,282.675
5212.5,5245.0,227.025
5234.0,5263.5,229.75
5231.0,5266.0,241.675
5227.5,5257.0,243.7
5199.5,5228.0,245.1
5111.5,5142.5,245.35
5058.0,5086.0,251.425
5061.0,5090.5,251.475
5231.0,5258.5,253.7
5184.0,5215.0,256.1
5169.5,5197.5,256.15
5165.5,5190.0,258.475
5118.0,5142.0,262.6
5120.5,5147.5,263.425
5034.0,5061.5,264.525
4994.5,5029.5,264.725
5169.5,5190.0,263.75
5175.5,5193.5,265.425
5098.5,5121.5,260.825
5054.5,5085.5,261.225
5119.0,5150.0,259.775
4963.5,4992.5,260.275
4976.0,5000.5,259.85
5067.5,5085.5,216.5
4867.0,4881.0,217.475
4863.5,4880.5,218.525
4821.5,4840.5,219.925
4772.0,4787.0,221.2
4797.0,4811.5,222.225
4763.0,4773.0,222.9
4774.0,4785.5,223.725
4775.5,4789.5,224.375
4754.0,4766.5,225.175
4789.5,4797.5,226.2
4617.5,4626.5,227.325
4855.0,4868.0,227.875
4685.0,4690.0,231.025
4860.5,4881.0,233.15
5205.0,5218.0,220.325
5211.0,5221.0,179.725
5530.5,5548.0,183.7
5386.5,5400.0,187.45
5552.0,5562.0,189.725
5598.0,5608.5,190.425
5483.0,5495.0,194.125
5624.0,5640.0,200.275
5667.5,5688.0,203.275
5694.5,5718.0,206.575
5668.0,5689.0,211.225
5640.0,5657.0,216.95
5573.0,5597.0,218.175
5618.0,5640.0,219.875
5614.0,5639.5,221.425
5663.5,5687.0,160.25
5657.5,5681.0,161.575
5702.0,5727.0,163.425
5730.0,5746.0,164.85
5745.5,5770.0,166.425
5728.0,5758.0,166.475
5802.0,5811.0,161.4
5737.0,5753.0,162.375
5716.0,5740.0,164.55
5747.0,5764.0,167.075
5696.0,5714.0,170.0
5659.5,5668.0,171.75
5653.0,5670.0,171.525
5726.0,5740.0,174.8
5714.0,5735.0,176.575
5652.0,5666.0,178.325
5595.0,5602.0,179.8
5570.0,5588.0,180.725
5621.0,5635.0,182.55
5698.0,5723.0,183.825
5715.0,5746.0,185.3
5779.0,5809.0,187.25
5968.0,5996.0,190.075
6050.0,6082.0,190.35
6103.5,6139.0,195.375
6158.5,6186.0,162.925
6245.0,6271.0,124.225
6276.5,6306.0,125.25
6300.5,6330.0,126.775
6232.0,6270.0,128.05
6247.0,6280.0,128.1
6177.0,6201.0,130.0
6157.0,6184.0,132.725
6156.0,6186.0,135.8
6154.0,6175.0,138.4
6134.5,6159.0,140.925
6097.5,6119.5,142.9
6077.0,6105.0,144.525
6165.5,6192.0,144.675
