index,LME Aluminium Cash-Settlement,LME Aluminium 3-month,LME Aluminium stock
2012-10-18,1971.5,1913.5,5048.45
2012-10-19,1976.5,1896.0,5039.125
2012-10-20,1961.8333333333,1878.5,5047.0416666667
2012-10-21,1947.1666666667,1861.0,5054.9583333333
2012-10-22,1932.5,1872.0,5062.875
2012-10-23,1913.5,1881.0,5059.5
2012-10-24,1907.0,1898.0,5057.575
2012-10-25,1909.5,1894.0,5058.625
2012-10-26,1899.5,1891.5,5052.625
2012-10-27,1890.8333333333,1889.0,5055.3583333333
2012-10-28,1882.1666666667,1886.5,5058.0916666667
2012-10-29,1873.5,1900.5,5060.825
2012-10-30,1884.5,1877.5,5083.15
2012-10-31,1882.5,1855.0,5077.375
2012-11-01,1908.5,1841.0,5071.475
2012-11-02,1937.0,1848.1666666667,5085.05
2012-11-03,1919.3333333333,1855.3333333333,5083.1583333333
2012-11-04,1901.6666666667,1862.5,5081.2666666667
2012-11-05,1884.0,1898.5,5079.375
2012-11-06,1887.0,1908.0,5090.675
2012-11-07,1901.0,1903.5,5084.425
2012-11-08,1897.5,1878.0,5086.325
2012-11-09,1889.0,1874.3333333333,5095.775
2012-11-10,1902.5,1870.6666666667,5099.1166666667
2012-11-11,1916.0,1867.0,5102.4583333333
2012-11-12,1929.5,1856.0,5105.8
2012-11-13,1944.0,1845.5,5101.625
2012-11-14,1966.0,1831.0,5095.1
2012-11-15,1932.0,1852.0,5087.1
2012-11-16,1921.5,1846.6666666667,5105.425
2012-11-17,1923.6666666667,1841.3333333333,5106.05
2012-11-18,1925.8333333333,1836.0,5106.675
2012-11-19,1928.0,1854.0,5107.3
2012-11-20,1952.5,1869.5,5172.5
2012-11-21,1928.0,1889.5,5166.5
2012-11-22,1915.5,1901.5,5159.425
2012-11-23,1929.0,1903.875,5177.425
2012-11-24,1944.8333333333,1906.25,5177.3166666667
2012-11-25,1960.6666666667,1908.625,5177.2083333333
2012-11-26,1976.5,1911.0,5177.1
2012-11-27,2003.0,1896.5,5174.5
2012-11-28,1992.5,1891.0,5178.25
2012-11-29,2046.0,1870.0,5189.525
2012-11-30,2079.0,1879.6666666667,5207.225
2012-12-01,2084.8333333333,1889.3333333333,5204.6583333333
2012-12-02,2090.6666666667,1899.0,5202.0916666667
2012-12-03,2096.5,1948.5,5199.525
2012-12-04,2100.5,1940.5,5191.175
2012-12-05,2095.0,1975.5,5189.95
2012-12-06,2109.5,1995.0,5181.775
2012-12-07,2078.0,2009.3333333333,5187.1
2012-12-08,2085.8333333333,2023.6666666667,5187.0083333333
2012-12-09,2093.6666666667,2038.0,5186.9166666667
2012-12-10,2101.5,2065.5,5186.825
2012-12-11,2131.0,2080.5,5177.3
2012-12-12,2135.0,2085.5,5167.65
2012-12-13,2121.5,2175.5,5159.3
2012-12-14,2132.5,2173.0,5174.125
2012-12-15,2142.8333333333,2170.5,5183.55
2012-12-16,2153.1666666667,2168.0,5192.975
2012-12-17,2163.5,2154.0,5202.4
2012-12-18,2081.0,2140.5,5238.45
2012-12-19,2073.0,2111.0,5240.725
2012-12-20,2032.0,2108.0,5236.975
2012-12-21,2035.5,2097.6666666667,5241.525
2012-12-22,2038.8333333333,2087.3333333333,5238.3916666667
2012-12-23,2042.1666666667,2077.0,5235.2583333333
2012-12-24,2045.5,2096.5,5232.125
2012-12-25,2044.8333333333,2076.0,5228.85
2012-12-26,2044.1666666667,2096.0,5225.575
2012-12-27,2043.5,2126.0,5222.3
2012-12-28,2031.0,2117.0,5216.675
2012-12-29,2034.0,2108.0,5214.4666666667
2012-12-30,2037.0,2099.0,5212.2583333333
2012-12-31,2040.0,2132.5,5210.05
2013-01-01,2066.75,2097.5,5210.2
2013-01-02,2093.5,2116.0,5210.35
